@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-attachment {e, a, d, x, s, ?, p, f}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
p,0.91,x,g,w,a,w,3.05,1.68,e,f,l
e,3.29,b,y,n,?,n,7.26,3.43,w,f,d
p,10.05,o,?,e,f,f,3.78,25.4,n,f,d
e,6.76,x,?,y,e,w,5.89,12.59,y,g,d
p,6.54,x,d,e,d,w,7.45,9.99,e,f,d
p,2.15,b,g,y,?,n,6.41,3.18,n,f,g
e,3.9,x,t,n,d,o,6.01,7.58,w,f,d
e,7.13,x,d,y,p,y,7.54,15.55,y,f,d
e,1.75,f,y,n,a,p,6.41,3.18,n,f,h
p,7.1,f,t,e,x,w,13.11,7.41,n,f,d
e,5.62,s,w,y,f,f,5.52,14.12,y,f,d
p,1.63,x,k,n,?,n,3.59,1.43,n,f,d
p,0.86,x,g,y,?,y,3.69,0.87,y,f,d
p,2.46,o,?,w,f,f,4.7,23.6,w,f,d
p,0.96,x,g,w,a,w,3.11,1.47,n,f,l
e,3.23,f,d,u,d,p,4.4,5.45,n,f,d
e,10.49,x,i,n,e,p,8.56,16.66,w,l,l
e,6.66,x,y,n,e,w,4.95,9.68,n,f,d
p,0.7,x,g,e,a,p,4.02,0.91,k,f,d
e,7.55,f,s,w,e,w,13.68,10.75,w,e,g
p,2.1,x,i,l,a,w,3.55,2.45,w,f,g
e,8.62,f,s,k,a,w,4.57,14.14,w,f,d
e,1.52,x,w,n,?,k,5.1,2.55,w,f,g
p,2.21,x,i,l,a,p,4.4,2.42,w,f,g
p,18.67,f,d,n,d,y,6.58,38.66,k,f,d
e,5.09,x,h,g,a,n,6.4,4.92,w,l,d
p,3.07,f,w,o,d,y,4.15,6.43,n,f,d
e,7.85,p,?,g,a,w,6.73,14.36,w,f,d
e,1.67,x,g,y,d,w,6.37,2.45,y,f,g
e,1.08,c,g,e,a,p,5.21,1.01,n,f,h
p,6.83,x,i,n,a,k,8.67,7.61,n,z,g
e,8.9,f,i,n,e,p,5.51,14.02,w,r,w
p,8.29,x,e,n,a,n,10.87,16.5,n,f,h
e,6.76,x,i,n,e,n,4.86,12.32,w,l,w
e,49.48,o,y,y,p,y,5.46,28.01,n,f,d
e,6.41,x,h,o,a,y,7.09,5.99,n,f,d
p,1.5,f,?,w,a,w,3.18,3.41,w,f,d
p,3.99,f,?,u,a,w,4.78,7.01,w,f,d
e,16.55,s,e,n,a,w,9.04,25.85,w,f,l
e,3.17,x,?,y,a,y,3.49,8.72,w,f,d
p,5.44,c,i,y,?,n,7.08,8.84,w,f,d
p,4.37,s,w,u,a,u,7.09,6.15,u,f,l
e,10.88,x,t,n,p,y,9.92,23.14,n,f,d
p,5.97,s,?,n,d,p,6.32,6.23,e,f,d
e,10.08,x,t,n,p,y,7.97,22.25,n,f,d
e,8.83,s,s,r,x,n,4.77,18.82,w,f,d
p,4.28,x,h,o,a,y,6.19,7.52,o,f,g
e,5.71,f,s,b,d,b,5.35,12.65,w,f,m
e,1.0,x,g,n,a,p,6.05,1.0,n,f,d
p,3.65,b,t,n,?,k,9.44,4.95,w,?,g
e,11.52,p,s,w,e,k,15.46,12.5,w,e,u
p,8.43,f,?,y,x,y,6.65,12.85,w,f,d
e,2.94,f,d,u,d,p,4.07,5.31,n,f,d
p,3.86,o,s,o,f,f,0.0,0.0,f,f,d
e,6.67,f,s,n,x,w,7.05,10.01,n,f,l
p,0.67,f,?,o,d,o,4.47,1.01,y,f,g
e,9.17,x,t,n,p,y,8.26,22.61,n,f,d
e,5.34,x,s,n,x,w,6.44,10.28,n,f,l
p,5.08,c,e,w,x,y,3.78,11.21,w,f,d
p,5.54,o,k,r,?,o,1.42,14.67,y,f,d
p,4.08,x,y,y,a,w,5.62,3.51,y,r,h
p,15.91,s,k,n,d,y,6.27,34.2,n,f,d
e,5.39,x,?,w,x,n,8.05,9.71,w,?,g
e,5.65,x,h,n,x,w,4.78,5.92,n,r,d
p,6.8,f,t,e,x,w,5.92,17.59,w,f,d
e,8.57,x,?,g,a,w,7.72,15.14,g,f,d
p,7.99,x,?,u,x,u,8.81,19.06,u,f,d
e,8.57,x,h,n,p,y,6.39,11.22,n,f,h
p,1.31,x,g,n,d,n,2.29,2.52,n,f,d
e,8.21,x,t,n,p,y,4.74,11.4,n,f,d
e,6.92,x,h,n,a,n,6.72,5.47,g,l,d
p,4.96,c,e,y,x,r,4.49,12.09,w,f,d
e,2.67,b,y,n,?,n,6.3,3.09,w,f,d
p,9.13,x,e,y,p,o,7.04,22.45,u,f,d
e,5.17,x,?,w,x,u,6.91,3.98,w,f,d
e,9.67,x,?,g,s,g,9.12,22.33,u,f,d
p,15.59,x,h,o,e,w,18.76,18.58,w,g,d
p,1.49,x,?,n,?,k,5.58,2.79,n,f,g
e,10.6,x,y,y,?,w,5.88,22.35,n,e,d
p,1.41,b,h,n,a,n,4.39,1.47,n,f,g
p,4.63,o,s,n,?,w,0.0,0.0,f,f,d
p,8.37,o,?,n,f,f,3.43,25.08,n,f,d
p,3.91,b,y,n,?,w,5.58,4.68,w,f,d
p,1.06,x,g,w,a,w,3.27,1.8,e,f,d
e,1.59,c,g,n,a,g,5.19,1.61,g,f,l
e,6.87,x,t,n,p,y,5.56,11.77,n,f,d
e,3.71,b,g,w,x,w,4.64,2.73,y,f,g
e,19.79,f,y,n,?,w,31.74,21.3,n,m,m
p,5.19,x,?,w,?,g,3.43,12.48,y,f,d
p,4.04,x,t,n,s,p,6.33,9.38,w,z,d
e,9.19,x,y,n,e,p,9.38,18.4,w,l,d
p,6.95,x,w,p,s,p,3.95,8.84,p,f,d
p,3.73,x,t,n,a,n,4.02,5.24,o,z,d
e,11.99,f,s,n,a,y,6.58,18.65,w,f,d
p,2.01,f,t,y,?,n,7.1,2.56,y,f,g
e,1.28,x,s,n,d,w,5.32,1.8,y,f,d
p,12.13,x,e,n,p,e,11.16,31.02,u,f,d
e,11.92,p,y,w,e,w,19.38,12.15,w,e,g
p,7.31,s,t,p,d,p,7.64,14.04,p,f,d
p,11.61,x,h,w,s,y,7.95,18.26,n,f,d
p,3.63,x,i,e,?,e,4.0,5.22,e,f,d
p,4.64,b,y,l,s,g,5.97,6.93,l,e,d
e,6.66,x,d,n,p,y,6.65,13.52,y,f,d
e,16.66,p,t,n,p,w,15.59,61.58,n,f,d
p,6.92,f,w,n,x,w,14.08,7.79,n,f,d
p,10.44,p,?,n,p,w,9.51,30.92,n,f,d
e,3.87,x,t,n,d,o,5.68,7.45,o,f,d
p,3.41,x,i,e,?,e,4.09,5.02,e,f,d
p,8.72,x,?,u,x,u,9.24,20.67,u,f,d
e,4.73,x,?,w,a,r,5.54,7.06,w,f,l
e,3.97,x,?,r,a,r,5.64,8.1,r,f,l
p,6.45,x,e,e,a,n,7.7,10.98,e,z,d
e,9.65,x,e,y,x,w,6.56,19.85,w,f,d
p,7.77,s,?,o,d,o,4.63,12.5,w,f,d
e,6.42,f,s,n,s,w,4.81,8.77,w,f,d
p,3.43,f,y,p,e,w,4.58,3.62,w,e,m
p,2.95,o,?,g,f,f,3.44,16.35,g,f,d
e,9.33,x,t,y,p,y,6.99,14.09,y,?,d
e,8.18,x,h,y,x,y,8.31,17.19,w,f,d
e,8.4,x,t,n,p,y,7.54,16.75,n,p,d
e,14.26,x,e,n,e,w,10.45,16.59,w,?,g
p,4.95,f,?,y,s,y,5.04,11.97,y,f,d
p,3.01,x,s,o,d,y,3.6,6.08,o,f,m
e,8.66,x,s,n,e,p,7.98,10.57,w,f,d
p,1.56,x,?,n,?,k,5.24,2.51,n,f,g
e,5.38,x,?,r,d,r,5.66,7.35,r,f,l
e,9.68,p,y,n,e,p,9.17,17.37,w,l,d
p,11.64,x,e,y,p,e,9.08,28.38,u,f,d
p,1.33,b,h,n,a,n,3.99,1.44,n,f,h
p,7.63,b,t,w,e,w,12.31,12.24,w,e,d
e,13.43,s,t,w,d,o,7.12,18.45,w,f,d
p,1.31,s,s,y,f,f,3.66,5.48,y,f,d
e,4.07,x,?,n,x,n,7.73,7.76,w,?,g
e,3.74,x,?,w,x,n,8.61,10.07,n,?,d
e,2.46,x,?,b,?,w,5.85,4.05,w,f,d
e,52.83,o,y,y,p,y,6.48,29.47,k,f,d
e,18.71,f,t,w,a,y,7.31,23.44,w,f,d
e,9.01,s,?,w,d,y,5.52,21.37,w,f,d
p,7.73,x,h,r,?,w,10.55,12.62,w,p,d
p,3.19,f,s,g,d,w,2.78,7.8,w,f,g
e,7.74,f,s,n,s,w,6.56,9.74,n,f,l
p,7.85,s,d,e,d,n,7.69,10.24,n,f,d
e,55.86,o,y,y,p,y,7.06,38.54,k,f,d
e,7.77,x,d,y,p,y,5.92,12.44,e,f,d
p,1.32,x,?,n,?,k,5.01,2.43,n,f,g
p,1.3,f,s,y,f,f,3.34,5.51,y,f,d
p,5.83,x,?,n,p,p,6.76,25.04,n,f,d
p,2.22,b,g,w,?,n,5.76,3.03,n,f,g
p,8.16,x,t,e,x,w,6.72,17.12,w,f,d
e,4.14,x,t,o,p,n,5.93,13.11,e,f,d
e,7.26,o,?,n,?,w,4.22,23.23,n,f,d
e,1.81,c,g,n,a,g,4.8,1.47,g,f,l
e,3.32,x,?,y,a,o,3.77,7.57,w,f,d
p,1.76,f,?,w,a,n,2.29,3.14,u,f,p
e,19.15,p,t,n,p,y,12.82,67.01,n,f,d
e,19.32,p,d,o,p,w,15.32,35.81,w,f,d
p,4.12,s,k,n,p,n,2.86,5.15,n,f,d
e,3.45,f,?,y,x,n,6.25,4.31,w,f,d
p,3.88,f,k,y,p,n,3.33,5.19,n,f,d
e,1.27,x,w,n,?,k,4.94,2.32,w,f,g
e,5.72,p,?,g,f,f,4.78,19.87,n,f,d
e,10.17,x,?,n,?,w,12.19,19.17,w,g,d
e,10.04,p,y,n,e,p,8.98,17.12,w,l,l
e,3.88,f,g,n,a,g,5.86,3.42,g,f,d
p,3.41,f,?,u,a,n,3.75,3.49,u,f,d
p,2.6,f,w,o,d,y,2.95,4.92,n,f,d
p,0.54,f,?,o,d,o,3.46,0.83,o,f,g
p,7.19,x,w,p,s,p,4.09,9.17,p,f,d
e,9.92,x,s,n,p,y,9.37,17.97,n,p,d
e,5.3,s,?,y,a,w,5.29,16.64,w,f,d
p,11.46,x,y,y,a,y,12.49,10.19,n,?,d
e,11.27,x,?,n,?,w,10.58,17.52,w,g,d
e,10.23,x,h,n,p,y,8.92,21.96,n,f,d
p,7.31,x,?,g,x,n,8.31,16.97,g,f,d
p,6.17,x,?,g,d,w,5.73,10.63,n,f,d
e,17.54,x,d,e,p,w,16.32,36.04,w,f,d
p,1.13,b,t,y,?,k,3.83,2.53,n,f,g
e,5.29,x,s,b,x,w,6.48,9.22,n,f,l
p,2.38,x,g,e,a,w,5.95,2.6,w,f,d
p,8.09,s,t,r,d,g,4.42,12.69,g,f,d
p,12.65,x,s,y,s,y,6.82,16.75,n,f,d
e,3.15,s,d,p,d,p,3.72,4.75,g,f,d
e,3.28,x,k,n,p,n,3.56,9.79,n,f,d
p,4.74,x,t,o,a,y,6.3,7.58,o,f,g
p,1.55,x,k,n,?,n,3.91,1.52,n,f,d
p,20.68,f,k,w,d,w,6.86,33.44,w,f,d
e,10.62,x,h,n,p,n,9.48,18.99,n,p,d
e,6.83,f,s,w,e,p,4.31,12.02,w,e,g
e,5.89,x,t,g,a,n,5.49,3.73,w,l,d
e,5.33,x,t,n,a,n,5.86,5.25,g,l,d
e,7.25,x,s,o,d,b,6.5,11.82,w,f,d
e,15.59,x,e,n,e,w,10.32,18.17,w,?,d
p,2.73,b,h,n,?,k,7.14,4.82,w,?,g
e,7.5,x,d,n,p,y,6.75,12.61,y,f,d
p,7.48,b,s,g,?,g,12.02,13.69,w,z,d
p,8.78,x,?,n,p,w,10.45,34.35,n,f,d
p,8.46,b,t,w,e,w,12.55,13.3,w,e,d
p,1.9,b,?,n,a,g,4.98,1.89,n,f,d
p,9.68,x,e,n,a,n,11.17,15.61,n,f,d
p,4.44,s,?,u,a,w,4.49,6.87,w,f,d
p,2.02,f,h,y,?,n,8.44,3.16,y,f,g
e,3.94,f,t,n,d,o,5.93,7.01,w,f,d
e,12.28,x,t,n,p,y,7.8,22.04,n,f,d
p,3.58,b,y,n,?,w,6.55,4.46,w,f,d
p,5.46,x,t,n,s,n,5.12,7.64,n,f,d
p,0.64,x,?,o,d,o,5.14,1.08,o,f,g
p,5.32,s,d,y,d,y,2.98,6.06,o,f,d
e,5.87,x,?,g,p,g,10.98,24.61,w,f,d
e,6.3,x,y,n,e,w,4.92,9.08,n,f,d
e,7.07,x,y,n,e,n,4.73,12.86,w,r,w
p,5.41,x,e,e,a,y,7.93,9.03,e,z,d
e,5.94,f,s,n,s,w,6.37,9.54,w,f,d
e,10.04,s,?,w,d,y,6.29,25.29,w,f,d
p,7.22,b,t,w,e,w,12.33,12.35,w,e,d
e,2.8,x,s,o,a,o,3.91,6.03,e,f,m
e,3.48,f,t,n,d,o,5.84,6.06,w,f,d
e,8.06,x,t,n,p,y,6.58,12.75,n,f,g
e,6.58,x,l,w,d,w,3.22,8.07,w,f,d
p,1.36,f,s,y,f,f,3.82,6.09,y,f,d
e,8.12,f,?,n,?,w,9.92,14.93,w,g,d
e,4.87,x,?,y,a,y,3.42,7.94,w,f,d
p,4.27,o,s,r,f,f,0.0,0.0,f,f,d
e,5.55,s,l,n,f,f,6.56,34.89,n,f,d
e,10.62,x,s,n,x,n,6.43,24.76,w,f,d
e,6.2,x,y,w,e,p,5.22,12.21,w,e,g
e,4.22,x,?,r,d,r,6.42,6.63,w,f,d
e,8.47,x,h,n,p,y,6.1,20.88,n,f,d
p,6.99,f,w,p,s,p,4.35,9.99,p,f,d
p,8.71,b,t,w,e,w,12.56,11.97,w,l,d
p,2.95,x,s,o,a,o,3.66,6.27,o,f,m
p,3.77,b,t,n,x,p,5.57,4.52,n,f,d
p,4.03,x,i,e,?,e,4.19,4.31,e,f,d
p,1.47,o,k,n,?,n,2.91,1.33,n,f,d
p,2.63,o,?,g,f,f,3.5,12.96,n,f,d
p,8.56,f,?,r,x,y,7.71,14.45,w,f,d
p,6.86,x,d,n,a,y,5.69,6.68,n,?,d
e,10.68,f,t,w,a,k,6.7,19.57,w,f,d
p,5.22,p,y,n,?,k,8.89,11.27,w,z,d
e,7.72,x,i,n,e,n,4.9,13.53,w,l,w
e,13.26,x,e,n,e,w,9.78,17.63,w,?,d
e,7.95,x,d,e,p,r,6.2,12.89,e,f,d
e,1.51,x,g,y,a,w,6.09,1.48,y,f,h
p,6.79,f,h,n,x,w,11.52,6.67,n,f,d
e,14.44,x,y,n,e,w,10.95,17.88,w,?,d
e,5.2,s,?,n,d,w,3.7,6.76,w,f,h
e,6.31,x,?,n,x,w,6.9,14.57,w,f,d
p,7.88,x,i,n,a,n,7.03,11.77,n,f,h
p,7.46,f,y,y,s,y,4.18,11.42,e,f,d
p,3.9,o,s,g,f,f,0.0,0.0,f,f,d
p,6.82,f,h,e,x,w,5.96,17.91,w,f,d
e,3.14,x,s,w,d,w,3.23,5.79,w,f,g
p,12.26,f,t,g,d,n,5.24,22.37,n,f,l
p,3.94,o,s,w,?,w,0.0,0.0,f,f,d
p,10.85,f,y,y,s,y,8.35,22.19,e,f,d
p,4.91,c,i,y,?,n,5.4,6.73,w,f,d
p,5.53,s,d,y,d,y,4.11,7.0,y,f,d
p,2.18,b,g,o,?,n,6.03,3.09,n,f,m
p,2.54,f,d,r,a,y,4.8,5.12,r,f,d
p,5.9,s,k,n,p,n,3.71,5.45,n,f,d
e,6.37,f,g,n,s,y,9.41,12.34,o,f,d
p,8.13,f,t,n,x,y,6.47,17.26,y,f,d
p,5.84,f,y,y,s,y,5.01,12.09,y,f,d
p,3.19,f,d,n,x,w,4.46,2.96,n,f,l
e,6.82,x,h,y,x,y,6.54,11.89,w,f,d
p,3.03,o,?,k,f,f,2.89,15.23,n,f,d
e,10.02,p,?,g,a,w,8.72,16.51,w,f,d
p,3.94,s,?,u,a,w,4.31,6.41,w,f,d
p,3.83,x,?,b,x,w,3.51,5.9,w,f,d
e,6.74,x,?,e,x,w,6.67,18.43,w,f,d
e,5.78,x,y,n,e,w,6.04,10.1,n,f,d
e,7.61,x,h,n,p,y,7.77,12.44,n,f,d
p,1.1,s,s,y,f,f,3.3,5.48,y,f,d
e,12.35,s,?,u,s,u,8.46,21.69,u,f,d
p,10.93,s,?,y,d,o,6.34,13.89,w,f,d
p,4.92,x,?,w,?,w,4.24,13.21,y,f,d
e,7.58,x,?,n,p,g,11.62,25.18,w,f,d
e,8.36,x,s,k,a,w,4.36,14.26,w,f,d
p,2.69,x,d,w,a,w,3.58,2.56,w,f,g
p,3.07,o,?,w,f,f,5.09,25.7,w,f,p
e,9.7,x,?,n,p,g,14.02,27.16,w,f,d
e,4.23,o,l,n,f,f,5.41,28.35,n,f,l
e,6.38,x,d,n,p,y,6.62,16.14,y,f,d
p,3.37,s,w,u,a,g,5.8,5.71,u,f,l
p,9.47,x,y,o,a,o,13.37,24.82,y,r,d
p,4.38,s,w,u,a,g,5.3,5.81,u,f,l
p,4.17,b,y,n,?,g,6.49,4.53,w,f,d
e,2.95,f,d,u,d,p,4.38,5.89,n,f,d
e,7.92,x,d,o,d,o,5.43,11.69,w,f,g
e,3.22,b,y,n,?,k,5.85,2.91,w,f,d
e,6.29,x,t,n,p,y,6.76,11.89,n,f,g
e,8.22,f,d,w,s,w,5.54,23.47,w,f,d
e,5.34,x,s,o,p,n,6.4,13.31,n,f,d
e,9.01,x,s,n,e,p,6.67,9.08,n,f,d
p,6.58,x,?,n,d,y,5.85,10.36,n,f,l
p,5.0,x,i,e,e,y,7.76,7.78,k,f,m
e,1.88,s,y,n,d,p,5.93,3.24,n,f,l
e,6.09,f,i,n,e,p,4.79,12.81,w,l,w
p,7.46,x,t,n,s,g,5.14,7.85,n,f,d
e,6.86,x,h,n,x,n,5.8,6.76,n,r,d
p,4.63,s,d,o,d,y,3.38,6.42,y,f,d
e,3.63,x,h,n,?,k,7.41,7.39,w,f,d
e,3.49,s,?,y,f,f,7.08,8.74,o,f,d
p,4.24,f,k,n,p,n,2.92,4.65,n,f,d
p,4.92,f,l,e,x,y,6.98,5.45,y,f,d
p,4.0,x,?,n,x,p,8.15,4.3,n,f,d
p,2.14,x,s,o,a,o,2.57,5.65,o,f,h
e,3.42,s,d,n,d,p,3.96,4.97,g,f,d
p,5.35,x,t,n,s,n,4.89,7.06,n,f,d
e,15.69,x,t,w,a,k,6.86,21.21,w,f,d
e,6.45,x,y,n,e,p,5.11,10.25,n,f,d
e,0.8,p,g,g,?,g,2.63,1.38,w,f,d
e,10.23,f,y,w,e,p,23.45,13.23,w,e,g
e,9.35,f,s,e,d,w,8.3,14.62,n,?,d
e,2.79,s,d,g,d,p,3.75,5.39,n,f,d
p,2.87,f,w,o,d,n,2.91,5.97,n,f,d
p,17.5,f,g,k,p,y,5.55,41.17,n,f,d
p,7.13,x,g,n,e,w,8.93,18.96,w,p,d
p,1.8,x,?,n,?,k,5.8,2.73,n,f,g
p,3.04,o,l,g,f,f,0.0,0.0,f,f,d
p,6.88,f,w,p,s,p,4.07,9.85,p,f,d
e,5.19,b,g,g,a,g,5.78,3.92,n,f,d
e,8.19,x,?,n,p,g,12.22,25.18,w,f,d
e,14.48,f,t,k,a,y,7.27,22.96,w,f,d
p,1.81,f,y,o,d,o,3.01,5.72,y,f,h
e,3.38,x,t,n,d,o,5.77,6.98,o,f,d
p,4.97,x,h,o,a,n,4.98,7.32,o,z,d
p,3.96,f,d,b,x,w,4.57,3.03,n,f,d
p,2.34,b,?,g,a,g,5.13,2.06,g,f,d
p,6.14,o,?,n,f,f,3.24,24.0,n,f,d
e,13.76,p,y,w,?,w,24.35,18.63,n,m,m
p,4.35,f,d,b,x,w,5.18,3.52,n,f,d
e,3.98,x,t,n,d,o,6.01,7.35,o,f,d
e,7.97,x,?,n,x,w,7.71,23.21,w,f,d
e,5.18,x,?,w,e,w,5.95,11.97,y,g,d
e,3.58,x,h,n,?,n,5.75,6.1,w,f,d
p,7.8,x,?,n,x,n,9.4,20.64,n,f,d
e,10.72,s,t,o,d,o,5.01,17.39,w,f,d
p,5.87,x,w,e,x,w,11.53,5.62,n,f,d
p,4.19,x,h,o,a,n,4.24,6.21,o,z,d
e,9.2,x,h,n,p,y,7.0,10.78,n,f,d
p,2.5,x,?,p,x,w,3.27,4.96,w,f,d
e,3.85,f,s,w,d,w,4.17,6.97,w,f,g
e,4.04,x,?,r,a,r,4.86,5.63,w,f,l
p,9.24,s,t,n,d,n,5.27,12.61,n,f,d
e,7.84,x,t,n,p,y,6.99,12.59,n,f,g
p,7.63,c,e,w,x,r,8.05,12.04,w,f,d
p,1.83,x,s,o,d,y,2.61,5.38,y,f,h
p,0.63,f,?,o,d,o,4.64,0.99,y,f,g
p,8.76,f,y,e,s,y,8.5,22.32,e,f,d
p,7.19,x,?,y,s,y,6.51,15.73,y,f,d
e,6.58,x,t,y,p,y,7.2,14.57,y,?,d
p,4.95,x,s,o,a,y,6.47,8.19,o,f,g
e,5.34,s,?,n,d,w,4.42,7.53,w,f,h
p,1.61,o,k,n,?,n,4.37,1.64,n,f,d
e,3.94,x,?,w,d,r,5.09,7.22,w,f,d
p,4.11,x,s,g,s,r,4.82,13.15,w,f,d
p,4.35,o,s,w,?,w,0.0,0.0,f,f,d
p,10.27,x,t,n,d,n,5.08,12.48,n,f,h
e,6.94,x,d,y,p,y,8.25,14.44,y,f,d
p,2.13,p,t,n,a,n,7.04,2.58,y,e,m
e,7.89,f,?,n,x,w,6.78,16.49,w,f,d
e,8.38,f,s,u,a,w,4.94,16.38,w,f,d
e,1.61,x,g,y,d,w,6.25,2.06,y,f,d
e,6.51,f,t,o,s,y,8.69,11.74,n,f,d
p,4.31,x,s,g,s,w,4.86,12.96,n,f,d
p,11.83,x,e,n,p,e,8.18,29.29,e,f,d
p,7.76,f,h,e,x,w,5.23,17.5,w,f,d
p,1.97,b,?,g,a,g,4.75,1.83,g,f,d
p,6.22,x,t,n,x,w,11.53,7.55,n,f,d
p,2.99,o,?,k,f,f,4.07,16.53,n,f,d
p,5.11,x,k,n,a,y,4.64,5.6,n,?,d
e,7.67,x,s,n,e,w,6.58,9.73,w,f,d
e,7.31,x,?,n,s,g,5.5,19.91,u,f,d
e,4.12,x,?,w,x,n,7.82,9.47,n,?,g
p,1.25,x,g,n,d,n,1.82,2.26,n,f,d
e,21.25,x,t,n,p,y,22.37,78.08,n,f,d
e,2.87,b,g,n,x,w,4.04,2.68,y,f,g
p,13.33,x,e,y,p,e,10.9,35.62,u,f,d
e,1.76,c,g,n,a,w,5.16,1.52,g,f,l
p,13.79,s,s,n,d,y,4.72,22.81,n,f,d
p,4.31,f,?,y,s,y,5.17,11.97,y,f,d
p,4.34,x,s,o,a,y,5.64,7.76,o,f,g
e,3.74,s,?,y,f,f,6.79,7.74,o,f,d
e,7.26,x,s,w,e,k,5.48,11.38,w,e,g
p,3.56,s,d,w,d,w,3.51,2.46,w,f,g
p,1.59,b,?,g,a,g,4.87,1.85,g,f,d
p,3.3,b,y,n,?,g,5.05,4.29,w,f,d
p,4.8,x,?,y,x,w,5.84,6.61,w,f,d
e,6.47,x,?,w,e,w,6.07,12.69,y,g,d
p,17.11,f,k,w,d,w,7.41,25.06,w,f,d
p,10.38,x,?,n,x,n,10.24,19.04,u,f,d
e,10.51,p,i,n,e,p,8.76,15.72,w,p,d
e,18.98,p,t,n,p,y,19.91,78.38,n,f,d
e,6.21,f,h,g,s,w,5.85,11.61,g,f,d
p,2.26,b,g,w,?,n,6.63,3.12,n,f,g
e,9.7,f,y,y,?,w,5.69,22.08,n,e,d
p,1.57,o,k,n,?,n,4.13,1.5,n,f,d
p,8.01,s,t,p,d,p,8.58,15.41,p,f,d
e,5.49,x,y,g,s,y,4.74,7.4,w,f,d
e,6.24,s,?,n,d,w,5.75,8.48,w,f,d
p,5.32,f,k,y,p,n,3.46,4.49,n,f,d
p,12.63,o,?,n,f,f,3.63,24.82,n,f,d
e,3.38,x,?,r,d,r,5.18,6.57,l,f,l
p,1.6,b,g,n,?,n,5.72,3.13,n,f,g
p,2.7,c,?,u,a,n,4.18,3.66,w,f,p
e,7.71,x,?,w,e,w,6.55,14.59,y,g,d
p,4.6,f,l,n,x,e,5.39,4.56,y,f,d
e,6.32,x,s,b,d,o,5.8,12.4,w,f,d
p,4.19,s,k,n,p,n,2.97,6.13,n,f,d
e,9.23,s,?,y,a,w,6.68,17.44,g,f,d
e,9.23,f,s,y,d,w,8.15,15.55,n,?,d
p,2.13,f,t,y,?,y,6.08,3.04,y,f,g
p,5.92,x,i,y,a,k,7.66,7.44,n,z,d
p,8.53,b,y,n,?,p,14.43,16.88,w,f,d
e,4.06,f,t,n,d,o,6.28,7.19,o,f,d
e,7.55,x,d,w,s,w,5.39,24.45,w,f,m
e,5.45,x,d,n,p,y,6.96,15.12,y,f,d
p,14.97,x,k,n,p,e,7.6,23.77,y,f,d
p,9.13,x,?,n,x,u,9.89,22.62,n,f,d
p,0.81,x,g,w,a,w,3.14,1.69,n,f,d
e,8.0,x,t,y,p,y,8.46,15.73,y,?,d
e,2.62,s,y,n,a,p,6.44,3.25,n,f,l
p,9.19,o,?,e,f,f,3.62,25.87,n,f,d
e,3.12,b,y,n,?,k,6.52,2.9,w,f,d
p,8.09,s,?,y,d,o,4.49,11.88,w,f,d
e,6.27,p,s,w,e,p,4.2,11.45,w,e,m
e,10.76,s,s,u,x,n,5.97,21.61,p,f,d
p,1.28,b,h,n,a,n,3.67,1.36,n,f,g
p,2.23,f,?,u,a,n,4.25,3.51,u,f,d
p,2.12,b,g,w,?,n,5.33,2.91,n,f,m
p,8.89,o,?,e,f,f,3.44,24.28,n,f,d
p,2.44,x,g,n,a,w,7.06,2.35,n,f,d
e,4.54,x,t,n,d,o,5.91,7.78,w,f,d
p,2.84,x,g,n,a,p,8.45,2.73,w,f,d
p,6.39,x,h,n,x,w,13.02,7.49,n,f,d
e,6.55,x,?,g,p,g,12.85,28.22,w,f,d
p,7.23,x,?,u,x,u,9.2,18.33,n,f,d
p,6.83,f,?,y,x,n,6.31,11.33,w,f,d
p,3.34,b,y,n,?,w,5.78,4.54,w,f,d
p,3.68,b,w,u,a,g,5.68,5.8,u,f,d
e,4.17,s,l,n,f,f,6.47,47.69,n,f,d
p,2.48,x,g,e,a,w,7.61,2.42,n,f,d
e,3.78,x,d,n,p,y,4.1,9.71,y,f,d
p,12.55,x,g,e,e,w,16.97,17.39,w,g,d
e,4.02,s,?,y,f,f,6.94,7.98,o,f,d
p,3.21,o,?,w,f,f,5.64,34.12,w,f,p
p,4.26,x,s,y,a,y,6.16,6.73,o,f,g
p,5.59,f,?,y,s,y,6.27,13.59,y,f,d
p,4.61,c,i,y,?,r,6.12,6.76,w,f,d
e,9.64,f,y,e,?,w,6.23,23.79,n,e,d
e,8.05,f,w,y,f,f,5.85,16.73,y,f,d
e,3.38,s,?,n,f,f,6.15,7.5,y,f,d
p,5.94,b,t,w,e,w,11.75,10.33,w,e,d
